Stations,96301,97301,96401,97601,96101,97303,97603,96001,96501,96103,96601,96403,95015,96105,96603
,A 1,DT 1,N 1,C 1,S 1,T 1,C 3,SKP 1,KAN 1,TS 1,CTL 1,N 3,KP 1,TS 3,CTL 3
,,AC,,,,,AC,,,,,,,,
,,X,,,,,,,,,,,,,
Vikhroli,21:16,,21:23,…,…,…,21:27,21:30,21:34,21:38,21:42,21:46,21:50,21:54,21:58
Kanjur Marg,21:19,,21:26,…,…,…,21:30,21:33,21:37,21:41,21:45,21:49,21:53,21:57,22:01
Bhandup,21:22,,21:29,…,…,…,21:33,21:36,21:40,21:44,21:48,21:52,21:56,22:00,22:04
Nahur,21:25,,21:32,…,…,…,21:36,21:39,21:43,21:47,21:51,21:55,21:59,22:03,22:07
Mulund,21:28,,21:35,21:19,21:22,21:25,21:39,21:42,21:46,21:50,21:54,21:58,22:02,22:06,22:10
Thane,21:35,,21:40,21:23,21:26,21:29,21:44,21:48,21:51,21:55,22:00,22:03,22:07,22:11,22:15
Kalva,21:41,,21:45,…,…,…,21:49,,21:56,22:00,,22:08,22:12,22:16,22:20
Mumbra,21:47,,21:51,…,…,…,21:55,,22:02,22:06,,22:14,22:18,22:22,22:26
Diva,21:51,,21:55,21:34,…,21:40,21:59,,22:06,22:10,,22:18,22:22,22:26,22:30
Kopar,21:56,,22:00,…,…,…,22:04,,22:11,22:15,,22:23,22:27,22:31,22:35
Dombivli,22:00,,22:04,21:39,21:42,21:45,22:08,,22:15,22:19,,22:26,22:31,22:35,22:39
Thakurli,22:04,,22:08,…,…,…,,,22:19,22:23,,22:30,,22:39,22:43
Kalyan,22:10,,22:14,21:49,21:52,21:54,,,22:25,22:29,,22:36,,22:45,22:49
Vithalwadi,22:14,,,21:53,,21:58,,,,,,22:41,,,
Ulhas Nagar,22:16,,,21:56,,22:01,,,,,,22:44,,,
Ambernath,22:23,,,22:00,,22:07,,,,,,22:48,,,
Badlapur,,,,22:07,,,,,,,,22:56,,,
Vangani,,,,22:15,,,,,,,,,,,
Shelu,,,,22:19,,,,,,,,,,,
Neral,,,,22:23,,,,,,,,,,,
Bhivpuri Road,,,,22:30,,,,,,,,,,,
Karjat,,,,22:41,,,,,,,,,,,
Palasdhari,,,,22:46,,,,,,,,,,,
Kelavli,,,,22:53,,,,,,,,,,,
Dolavli,,,,22:56,,,,,,,,,,,
Lowjee,,,,23:00,,,,,,,,,,,
Khopoli,,,,23:06,,,,,,,,,,,
Shahad,,,,,21:57,,,,22:29,,,,,,22:53
Ambivli,,,,,22:00,,,,22:32,,,,,,22:56
Titwala,,,,,22:06,,,,22:38,,,,,,23:04
Khadavli,,,,,22:13,,,,22:45,,,,,,
Vasind,,,,,22:20,,,,22:52,,,,,,
Asangaon,,,,,22:26,,,,23:00,,,,,,
Atgaon,,,,,22:35,,,,,,,,,,
Khardi,,,,,22:45,,,,,,,,,,
Kasara,,,,,23:04,,,,,,,,,,
Stations,95135,97165,96221,96411,97641,96335,95741,96223,97167,97169,95743,97171,97643,95011,96649
,S 39,PK 23,BL 51,N 31,C 41,A 63,K 125,BL 53,PK 25,K 127,K 129,CK 27,C 43,KP 13,TL 61
,,,,,,,AC,,,,15 C,,,,
,,,,,,,X,,,,X,,X,,
CSMT,21:26,,21:28,21:32,21:36,21:40,21:42,21:44,,21:52,21:54,,21:56,21:58,22:00
Masjid,…,,21:31,21:35,21:39,21:43,…,21:47,,21:55,…,,21:59,…,22:03
Sandhurst Road,…,,21:33,21:37,21:41,21:45,…,21:49,,21:57,…,,22:01,…,22:05
Byculla,21:33,,21:36,21:40,21:44,21:48,21:49,21:52,,22:00,22:02,,22:04,22:05,22:08
Chinchpokli,…,,21:38,21:42,21:46,21:50,…,21:54,,22:02,…,,22:06,…,22:10
Currey Road,…,,21:40,21:44,21:48,21:52,…,21:56,,22:04,…,,22:08,…,22:12
Parel,…,21:39,21:43,21:47,21:51,21:55,…,21:59,22:03,22:07,…,,22:11,…,22:15
Dadar,21:40,21:42,21:46,21:50,21:54,21:58,21:55,22:02,22:06,22:10,22:07,,22:14,22:11,22:18
Matunga,…,21:45,21:49,21:53,21:57,22:01,…,22:05,22:09,22:13,…,,22:17,…,22:21
Sion,…,21:48,21:52,21:56,22:00,22:04,…,22:08,22:12,22:16,…,,22:20,…,22:24
Kurla,21:47,21:52,21:56,22:00,22:04,22:08,22:03,22:12,22:16,22:20,22:15,22:23,22:25,22:19,22:28
Vidyavihar,…,21:55,21:59,22:03,,22:11,…,22:15,22:19,22:23,…,22:27,,…,22:31
Ghatkopar,21:51,21:58,22:02,22:06,,22:14,22:10,22:18,22:22,22:26,22:19,22:30,,22:23,22:34
Vikhroli,…,22:02,22:06,22:10,,22:18,22:14,22:22,22:26,22:30,…,22:34,,…,22:38
Kanjur Marg,…,22:05,22:09,22:13,,22:21,22:17,22:25,22:29,22:33,…,22:37,,…,22:41
Bhandup,…,22:08,22:12,22:16,,22:24,22:20,22:28,22:32,22:36,…,22:40,,22:31,22:44
Nahur,…,22:11,22:15,22:19,,22:27,22:23,22:31,22:35,22:39,…,22:43,,…,22:47
Mulund,22:03,22:14,22:18,22:22,,22:30,22:26,22:34,22:38,22:42,22:31,22:46,,…,22:50
Thane,22:07,22:19,22:23,22:27,,22:35,22:31,22:39,22:43,22:47,22:35,22:51,,22:39,22:55
Kalva,…,22:24,22:28,22:32,,22:40,22:36,22:44,22:48,22:53,…,22:57,,…,23:01
Mumbra,…,22:30,22:34,22:38,,22:46,22:42,22:50,22:54,22:59,…,23:03,,…,23:07
Diva,…,22:34,22:38,22:42,,22:50,22:46,22:54,22:58,23:03,…,23:07,,…,23:11
Kopar,…,22:39,22:43,22:47,,22:55,22:51,22:59,23:03,23:08,…,23:12,,…,23:16
Dombivli,22:22,22:43,22:47,22:51,,22:59,22:55,23:03,23:07,23:12,22:50,23:16,,22:54,23:20
Thakurli,…,22:47,22:51,22:55,,23:03,22:59,23:07,23:11,23:16,…,23:20,,…,23:24
Kalyan,22:31,22:53,22:58,23:03,,23:09,23:05,23:13,23:17,23:22,22:59,23:26,,23:05,23:30
Vithalwadi,22:35,,23:02,,,23:14,,23:18,,,,,,23:09,
Ulhas Nagar,22:38,,23:05,,,23:17,,23:21,,,,,,23:12,
Ambernath,22:42,,23:09,,,23:21,,23:25,,,,,,23:16,
Badlapur,22:49,,23:17,,,,,23:33,,,,,,23:23,
Vangani,22:57,,,,,,,,,,,,,23:31,
Shelu,23:01,,,,,,,,,,,,,23:35,
Neral,23:05,,,,,,,,,,,,,23:39,
Bhivpuri Road,23:12,,,,,,,,,,,,,23:46,
Karjat,23:22,,,,,,,,,,,,,23:56,
Palasdhari,,,,,,,,,,,,,,00:01,
Kelavli,,,,,,,,,,,,,,00:08,
Dolavli,,,,,,,,,,,,,,00:11,
Lowjee,,,,,,,,,,,,,,00:15,
Khopoli,,,,,,,,,,,,,,00:21,
Shahad,,,,23:08,,,,,,,,,,,23:34
Ambivli,,,,23:11,,,,,,,,,,,23:37
Titwala,,,,23:17,,,,,,,,,,,23:45
Khadavli,,,,23:24,,,,,,,,,,,
Vasind,,,,23:31,,,,,,,,,,,
Asangaon,,,,23:37,,,,,,,,,,,
Atgaon,,,,23:46,,,,,,,,,,,
Khardi,,,,23:56,,,,,,,,,,,
Kasara,,,,00:13,,,,,,,,,,,
Stations,97173 K 131,97431 T 137,97433 DT 5,97175 K 133,97435 T 139,97177 K 135,95247 BL 55,96019 KP 15,97645 C 45,96337 PA 1,97437 T 141,96225 BL 57,97439 T 143,95423 N 33,96651 TL 63
,,,X,X,,,,,X,,X,,,,
CSMT,22:04,22:08,,22:16,22:20,22:24,22:25,22:28,22:31,,22:38,22:42,22:46,22:50,22:50
Masjid,22:07,22:11,,22:19,22:23,22:27,…,22:31,22:34,,22:41,22:45,22:49,…,22:53
Sandhurst Road,22:09,22:13,,22:21,22:25,22:29,…,22:33,22:36,,22:43,22:47,22:51,…,22:55
Byculla,22:12,22:16,,22:24,22:28,22:32,22:32,22:36,22:39,,22:46,22:50,22:54,22:57,22:58
Chinchpokli,22:14,22:18,,22:26,22:30,22:34,…,22:38,22:41,,22:48,22:52,22:56,…,23:00
Currey Road,22:16,22:20,,22:28,22:32,22:36,…,22:40,22:43,,22:50,22:54,22:58,…,23:02
Parel,22:19,22:23,,22:31,22:35,22:39,…,22:43,22:46,22:49,22:53,22:57,23:01,…,23:05
Dadar,22:22,22:26,22:30,22:34,22:38,22:42,22:38,22:46,22:49,22:52,22:56,23:00,23:04,23:05,23:08
Matunga,22:25,22:29,22:33,22:38,22:42,22:46,…,22:50,22:53,22:56,22:59,23:03,23:07,…,23:11
Sion,22:28,22:32,22:36,22:41,22:45,22:49,…,22:53,22:56,22:59,23:02,23:06,23:10,…,23:14
Kurla,22:32,22:36,22:40,22:45,22:49,22:53,22:45,22:57,23:00,23:03,23:06,23:10,23:14,23:13,23:18
Vidyavihar,22:35,22:39,22:43,22:48,22:52,22:56,…,23:00,,23:06,23:09,23:13,23:17,…,23:21
Ghatkopar,22:38,22:42,22:46,22:51,22:55,22:59,22:49,23:03,,23:09,23:12,23:16,23:20,23:18,23:24
Vikhroli,22:42,22:46,22:50,22:55,22:59,23:03,…,23:07,,23:13,23:16,23:20,23:24,…,23:28
Kanjur Marg,22:45,22:49,22:53,22:58,23:02,23:06,…,23:10,,23:16,23:19,23:23,23:27,…,23:31
Bhandup,22:48,22:52,22:56,23:01,23:05,23:09,…,23:13,,23:19,23:22,23:26,23:30,…,23:34
Nahur,22:51,22:55,22:59,23:04,23:08,23:12,…,23:16,,23:22,23:25,23:29,23:33,…,23:37
Mulund,22:54,22:58,23:02,23:07,23:11,23:15,23:01,23:19,,23:25,23:28,23:32,23:36,23:30,23:40
Thane,22:59,23:03,23:08,23:11,23:15,23:19,23:05,23:23,,23:29,23:33,23:37,23:41,23:34,23:45
Kalva,23:05,,,23:16,,23:24,…,23:28,,23:34,,23:43,,…,23:50
Mumbra,23:11,,,23:22,,23:30,…,23:34,,23:40,,23:49,,…,23:56
Diva,23:15,,,23:26,,23:34,…,23:38,,23:44,,23:53,,…,00:00
Kopar,23:20,,,23:31,,23:39,…,23:43,,23:49,,23:58,,…,00:05
Dombivli,23:24,,,23:35,,23:43,23:21,23:47,,23:53,,00:01,,23:50,00:08
Thakurli,23:28,,,23:39,,23:47,…,23:51,,23:56,,00:04,,…,00:12
Kalyan,23:34,,,23:45,,23:52,23:31,23:58,,00:02,,00:12,,00:01,00:18
Vithalwadi,,,,,,,23:36,00:02,,00:07,,00:16,,,
Ulhas Nagar,,,,,,,23:39,00:05,,00:10,,00:19,,,
Ambernath,,,,,,,23:43,00:09,,00:16,,00:23,,,
Badlapur,,,,,,,23:52,00:16,,,,00:32,,,
Vangani,,,,,,,,00:25,,,,,,,
Shelu,,,,,,,,00:29,,,,,,,
Neral,,,,,,,,00:33,,,,,,,
Bhivpuri Road,,,,,,,,00:40,,,,,,,
Karjat,,,,,,,,00:50,,,,,,,
Palasdhari,,,,,,,,00:55,,,,,,,
Kelavli,,,,,,,,01:02,,,,,,,
Dolavli,,,,,,,,01:05,,,,,,,
Lowjee,,,,,,,,01:09,,,,,,,
Khopoli,,,,,,,,01:15,,,,,,,
Shahad,,,,,,,,,,,,,,00:06,00:22
Ambivli,,,,,,,,,,,,,,00:09,00:25
Titwala,,,,,,,,,,,,,,00:15,00:33
Khadavli,,,,,,,,,,,,,,00:22,
Vasind,,,,,,,,,,,,,,00:29,
Asangaon,,,,,,,,,,,,,,00:35,
Atgaon,,,,,,,,,,,,,,00:44,
Khardi,,,,,,,,,,,,,,00:54,
Kasara,,,,,,,,,,,,,,01:12,
Stations,97647 C 47,96227 PBL 1,97441 T 145,97649 C 49,96339 A 65,97443 T 147 AC,96653 TL 65,95013 KP 17,97651 C 51,96115 S 41,97653 C 53,97445 T 149,96655 TL 67,97447 T 151,96341 A 67
,,,,X,,,,,,,X,,,,
CSMT,22:54,,23:00,23:04,23:08,23:12,23:16,23:18,23:23,23:30,23:35,23:39,23:43,23:47,23:51
Masjid,22:57,,23:03,23:07,23:11,23:15,23:19,…,23:26,23:33,23:38,23:42,23:46,23:50,23:54
Sandhurst Road,22:59,,23:05,23:09,23:13,23:17,23:21,…,23:28,23:35,23:40,23:44,23:48,23:52,23:56
Byculla,23:02,,23:08,23:12,23:16,23:20,23:24,23:25,23:31,23:38,23:43,23:47,23:51,23:55,23:59
Chinchpokli,23:04,,23:10,23:14,23:18,23:22,23:26,…,23:33,23:40,23:45,23:49,23:53,23:57,00:01
Currey Road,23:06,,23:12,23:16,23:20,23:24,23:28,…,23:35,23:42,23:47,23:51,23:55,23:59,00:03
Parel,23:09,23:13,23:16,23:19,23:23,23:27,23:31,…,23:38,23:45,23:50,23:54,23:58,00:02,00:06
Dadar,23:12,23:16,23:19,23:22,23:26,23:30,23:34,23:31,23:41,23:48,23:53,23:57,00:01,00:05,00:09
Matunga,23:15,23:19,23:22,23:25,23:29,23:33,23:37,…,23:44,23:51,23:56,00:00,00:04,00:08,00:13
Sion,23:18,23:22,23:25,23:28,23:32,23:36,23:40,…,23:47,23:54,23:59,00:03,00:07,00:11,00:16
Kurla,23:22,23:26,23:29,23:33,23:36,23:40,23:44,23:38,23:51,23:58,00:03,00:07,00:11,00:15,00:20
Vidyavihar,,23:29,23:32,,23:39,23:43,23:47,…,,00:01,,00:10,00:14,00:18,00:23
Ghatkopar,,23:32,23:35,,23:42,23:46,23:50,23:42,,00:04,,00:13,00:17,00:21,00:26
Vikhroli,,23:36,23:39,,23:46,23:50,23:54,…,,00:08,,00:17,00:21,00:25,00:30
Kanjur Marg,,23:39,23:42,,23:49,23:53,23:57,…,,00:11,,00:20,00:24,00:28,00:33
Bhandup,,23:42,23:45,,23:52,23:56,00:00,…,,00:14,,00:23,00:27,00:31,00:36
Nahur,,23:45,23:48,,23:55,23:59,00:03,…,,00:17,,00:26,00:30,00:34,00:39
Mulund,,23:48,23:51,,23:58,00:02,00:06,23:54,,00:20,,00:29,00:33,00:37,00:42
Thane,,23:53,23:57,,00:03,00:07,00:11,23:58,,00:25,,00:34,00:38,00:42,00:47
Kalva,,23:58,,,00:08,,00:16,…,,00:30,,,00:43,,00:52
Mumbra,,00:04,,,00:14,,00:22,…,,00:36,,,00:49,,00:58
Diva,,00:08,,,00:18,,00:26,…,,00:40,,,00:53,,01:02
Kopar,,00:13,,,00:23,,00:31,…,,00:45,,,00:58,,01:07
Dombivli,,00:17,,,00:26,,00:34,00:13,,00:48,,,01:02,,01:10
Thakurli,,00:21,,,00:30,,00:38,…,,00:52,,,01:06,,01:13
Kalyan,,00:27,,,00:36,,00:45,00:21,,00:58,,,01:12,,01:19
Vithalwadi,,00:32,,,00:41,,,00:26,,01:03,,,,,01:23
Ulhas Nagar,,00:35,,,00:44,,,00:29,,01:06,,,,,01:26
Ambernath,,00:39,,,00:50,,,00:33,,01:10,,,,,01:32
Badlapur,,00:48,,,,,,00:40,,01:17,,,,,
Vangani,,,,,,,,00:48,,01:25,,,,,
Shelu,,,,,,,,00:52,,01:29,,,,,
Neral,,,,,,,,00:56,,01:33,,,,,
Bhivpuri Road,,,,,,,,01:03,,01:40,,,,,
Karjat,,,,,,,,01:12,,01:49,,,,,
Palasdhari,,,,,,,,01:17,,,,,,,
Kelavli,,,,,,,,01:24,,,,,,,
Dolavli,,,,,,,,01:27,,,,,,,
Lowjee,,,,,,,,01:31,,,,,,,
Khopoli,,,,,,,,01:38,,,,,,,
Shahad,,,,,,,00:49,,,,,,01:16,,
Ambivli,,,,,,,00:52,,,,,,01:19,,
Titwala,,,,,,,01:00,,,,,,01:27,,
Khadavli,,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,97449,97655,,,,,,,,,,,,,
,T 153,C 55,,,,,,,,,,,,,
,,X,,,,,,,,,,,,,
CSMT,23:55,23:59,,,,,,,,,,,,,
Masjid,23:58,00:02,,,,,,,,,,,,,
Sandhurst Road,00:00,00:04,,,,,,,,,,,,,
Byculla,00:03,00:07,,,,,,,,,,,,,
Chinchpokli,00:05,00:09,,,,,,,,,,,,,
Currey Road,00:07,00:11,,,,,,,,,,,,,
Parel,00:10,00:14,,,,,,,,,,,,,
Dadar,00:13,00:17,,,,,,,,,,,,,
Matunga,00:17,00:20,,,,,,,,,,,,,
Sion,00:20,00:23,,,,,,,,,,,,,
Kurla,00:24,00:28,,,,,,,,,,,,,
Vidyavihar,00:27,,,,,,,,,,,,,,
Ghatkopar,00:30,,,,,,,,,,,,,,
Vikhroli,00:35,,,,,,,,,,,,,,
Kanjur Marg,00:38,,,,,,,,,,,,,,
Bhandup,00:40,,,,,,,,,,,,,,
Nahur,00:43,,,,,,,,,,,,,,
Mulund,00:46,,,,,,,,,,,,,,
Thane,00:51,,,,,,,,,,,,,,
Kalva,,,,,,,,,,,,,,,
Mumbra,,,,,,,,,,,,,,,
Diva,,,,,,,,,,,,,,,
Kopar,,,,,,,,,,,,,,,
Dombivli,,,,,,,,,,,,,,,
Thakurli,,,,,,,,,,,,,,,
Kalyan,,,,,,,,,,,,,,,
Vithalwadi,,,,,,,,,,,,,,,
Ulhas Nagar,,,,,,,,,,,,,,,
Ambernath,,,,,,,,,,,,,,,
Badlapur,,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,,,,,,,,,,,,,,
Ambivli,,,,,,,,,,,,,,,
Titwala,,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
